,date,rd_link_cd,signgu_cd,signgu_nm,adstrd_cd,adstrd_nm,dayweek_cd,agrde_cd,tmzon_cd,flpop_co
8754713,201612,25695,11290,己合备,11290640,沥釜3悼,1,40,2,3.6885
8754720,201612,25695,11290,己合备,11290640,沥釜3悼,1,50,2,3.106375
8754727,201612,25695,11290,己合备,11290640,沥釜3悼,1,60,2,1.99675
8754734,201612,25695,11290,己合备,11290640,沥釜3悼,2,0,2,4.659375
8754755,201612,25695,11290,己合备,11290640,沥釜3悼,2,30,2,0.8553125
8754762,201612,25695,11290,己合备,11290640,沥釜3悼,2,40,2,1.5415626
8754769,201612,25695,11290,己合备,11290640,沥釜3悼,2,50,2,1.7490625
8754776,201612,25695,11290,己合备,11290640,沥釜3悼,2,60,2,0.5134375
8757331,201612,25721,11290,己合备,11290640,沥釜3悼,1,0,2,19.074
8757338,201612,25721,11290,己合备,11290640,沥釜3悼,1,10,2,1.079
8757345,201612,25721,11290,己合备,11290640,沥釜3悼,1,20,2,2.213
8757352,201612,25721,11290,己合备,11290640,沥釜3悼,1,30,2,3.291
8757359,201612,25721,11290,己合备,11290640,沥釜3悼,1,40,2,4.713
8757366,201612,25721,11290,己合备,11290640,沥釜3悼,1,50,2,4.202
8757373,201612,25721,11290,己合备,11290640,沥釜3悼,1,60,2,3.576
8757380,201612,25721,11290,己合备,11290640,沥釜3悼,2,0,2,9.2725
8757394,201612,25721,11290,己合备,11290640,沥釜3悼,2,20,2,1.265
8757401,201612,25721,11290,己合备,11290640,沥釜3悼,2,30,2,1.545
8757408,201612,25721,11290,己合备,11290640,沥釜3悼,2,40,2,2.1075
8757415,201612,25721,11290,己合备,11290640,沥釜3悼,2,50,2,2.53
8757422,201612,25721,11290,己合备,11290640,沥釜3悼,2,60,2,1.825
8757527,201612,25723,11290,己合备,11290640,沥釜3悼,1,0,2,2.405
8757534,201612,25723,11290,己合备,11290640,沥釜3悼,1,10,2,0.082333334
8757548,201612,25723,11290,己合备,11290640,沥釜3悼,1,30,2,0.415625
8757555,201612,25723,11290,己合备,11290640,沥釜3悼,1,40,2,0.705625
